path,relative_path,extension,size_bytes,last_modified
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Active\[VAPI] inbound calling scenario.json,Dawood\Active\[VAPI] inbound calling scenario.json,.json,24719,1760845738.1028543
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Active\Email Agent.json,Dawood\Active\Email Agent.json,.json,26186,1760845713.6489472
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Active\SMS  messages.json,Dawood\Active\SMS  messages.json,.json,27560,1760845724.823036
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\Daily data sending to clinic member.json,Dawood\Inactive\Daily data sending to clinic member.json,.json,9115,1760845794.0966349
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\My workflow.json,Dawood\Inactive\My workflow.json,.json,1466,1760845829.4026992
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\NOTIFICATION.json,Dawood\Inactive\NOTIFICATION.json,.json,17524,1760845541.992041
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\outbound calling Voice workflow.json,Dawood\Inactive\outbound calling Voice workflow.json,.json,17738,1760845805.3255837
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\outbound reachout.json,Dawood\Inactive\outbound reachout.json,.json,34356,1760845636.0239823
D:\PROJECTS\CLINICPILOT X (Old)\Dawood\Inactive\services credentials.json,Dawood\Inactive\services credentials.json,.json,2665,1760845816.2870574
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot Feature Map.docx,Final\ClinicPilot Feature Map.docx,.docx,10368,1760782578.79894
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot GPT Agent – System Instructions.docx,Final\ClinicPilot GPT Agent – System Instructions.docx,.docx,11148,1760784756.1092155
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot Possible Video Titles.docx,Final\ClinicPilot Possible Video Titles.docx,.docx,7542,1760782537.5855725
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot PriorityBook Documentation.docx,Final\ClinicPilot PriorityBook Documentation.docx,.docx,17245,1760784460.2467139
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot Product Documentation (For Investors).docx,Final\ClinicPilot Product Documentation (For Investors).docx,.docx,14929,1760782365.5482364
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot Suggested Pricing Packages.docx,Final\ClinicPilot Suggested Pricing Packages.docx,.docx,8685,1760782509.1732247
D:\PROJECTS\CLINICPILOT X (Old)\Final\ClinicPilot Website Pages.docx,Final\ClinicPilot Website Pages.docx,.docx,20052,1760782433.7718432
